00-00	VERDENSERKLÆRINGEN OM MENNESKERETTIGHETENE
00-01	Da anerkjennelsen av menneskeverd og like og umistelige rettigheter for alle medlemmer av menneskeslekten er grunnlaget for frihet, rettferdighet og fred i verden,
00-02	da tilsidesettelse av og forakt for menneskerettighetene har ført til barbariske handlinger som har rystet menneskehetens samvittighet, og da framveksten av en verden hvor menneskene har tale- og trosfrihet og frihet fra frykt og nød, er blitt kunngjort som folkenes høyeste mål,
00-03	da det er nødvendig at menneskerettighetene blir beskyttet av loven for at menneskene ikke skal tvinges til som siste utvei å gjøre opprør mot tyranni og undertrykkelse,
00-04	da det er viktig å fremme utviklingen av vennskapelige forhold mellom nasjonene,
00-05	da De Forente Nasjoners folk i Pakten på ny har bekreftet sin tro på grunnleggende menneskerettigheter, på menneskeverd og på like rett for menn og kvinner og har besluttet å arbeide for sosialt framskritt og bedre levevilkår under større Frihet,
00-06	da medlemsstatene har forpliktet seg til i samarbeid med De Forente Nasjoner å sikre at menneskerettighetene og de grunnleggende friheter blir alminnelig respektert og overholdt,
00-07	da en allmenn forståelse av disse rettigheter og friheter er av den største betydning for å virkeliggjøre denne forpliktelse,
00-08	kunngjør
00-09	GENERALFORSAMLINGEN
00-10	nå denne VERDENSERKLÆRING OM MENNESKERETTIGHETENE som et felles mål for alle folk og alle nasjoner, for at hvert individ og hver samfunnsmyndighet, med denne erklæring stadig i tankene, skal søke gjennom undervisning og oppdragelse å fremme respekt for disse rettigheter og friheter, og ved nasjonale og internasjonale tiltak å sikre at de blir allment og effektivt anerkjent og overholdt både blant folkene i medlemsstatene selv og blant folkene i de områder som står under deres overhøyhet.
01-00	Artikkel 1.
01-01	Alle mennesker er født frie og med samme menneskeverd og menneskerettigheter. De er utstyrt med fornuft og samvittighet og bør handle mot hverandre i brorskapets ånd.
02-00	Artikkel 2.
02-01	Enhver har krav på alle de rettigheter og friheter som er nevnt i denne erklæring, uten forskjell av noen art, f. eks. på grunn av rase, farge, kjønn, språk, religion, politisk eller annen oppfatning, nasjonal eller sosial opprinnelse eiendom, fødsel eller annet forhold.
02-02	Det skal heller ikke gjøres noen forskjell på grunn av den politiske, rettslige eller internasjonale stilling som innehas av det land eller det område en person hører til, enten landet er uavhengig, står under tilsyn, er ikke-selvstyrende, eller på annen måte har begrenset suverenitet.
03-00	Artikkel 3.
03-01	Enhver har rett til liv, frihet og personlig sikkerhet.
04-00	Artikkel 4.
04-01	Ingen må holdes i slaveri eller trelldom. Slaveri og slavehandel i alle former er forbudt.
05-00	Artikkel 5.
05-01	Ingen må utsettes for tortur eller grusom, umenneskelig eller nedverdigende behandling eller straff.
06-00	Artikkel 6.
06-01	Ethvert menneske har krav på overalt å bli anerkjent som rettssubjekt.
07-00	Artikkel 7.
07-01	Alle er like for loven og har uten diskriminering rett til samme beskyttelse av loven. Alle har krav på samme beskyttelse mot diskriminering i strid med denne erklæring og mot enhver oppfordring til slik diskriminering.
08-00	Artikkel 8.
08-01	Enhver har rett til effektiv hjelp av de kompetente nasjonale domstoler mot handlinger som krenker de grunnleggende rettigheter han er gitt i forfatning eller lov.
09-00	Artikkel 9.
09-01	Ingen må utsettes for vilkårlig arrest, fengsling eller landsforvisning.
10-00	Artikkel 10.
10-01	Enhver har krav på under full likestilling å få sin sak rettferdig og offentlig behandlet av en uavhengig og upartisk domstol når hans rettigheter og plikter skal fastsettes,og når en straffeanklage mot ham skal avgjøres.
11-00	Artikkel 11.
11-01	Enhver som er anklaget for en straffbar handling har rett til å bli ansett som uskyldig til det er bevist ved offentlig domstolsbehandling, hvor han har hatt alle de garantier som er nødvendig for hans forsvar, at han er skyldig etter loven.
11-02	Ingen må dømmes for en handling eller unnlatelse som i henhold til nasjonal lov eller folkeretten ikke var straffbar på den tid da den ble begått. Heller ikke skal det kunne idømmes strengere straff enn den som det var hjemmel for på den tid da den straffbare handling ble begått.
12-00	Artikkel 12.
12-01	Ingen må utsettes for vilkårlig innblanding i privatliv, familie, hjem og korrespondanse, eller for angrep på ære og anseelse. Enhver har rett til lovens beskyttelse mot slik innblanding eller slike angrep.
13-00	Artikkel 13.
13-01	Enhver har rett til å bevege seg fritt og til fritt å velge oppholdssted innenfor en stats grenser.
13-02	Enhver har rett til å forlate et hvilket som helst land innbefattet sitt eget og til å vende tilbake til sitt land.
14-00	Artikkel 14.
14-01	Enhver har rett til i andre land å søke og ta imot asyl mot forfølgelse.
14-02	Denne rett kan ikke påberopes ved rettsforfølgelse som har reelt grunnlag i upolitiske forbrytelser eller handlinger som strider mot De Forente Nasjoners formål og prinsipper.
15-00	Artikkel 15.
15-01	Enhver har rett til et statsborgerskap.
15-02	Ingen skal vilkårlig berøves sitt statsborgerskap eller nektes retten til å forandre det.
16-00	Artikkel 16.
16-01	Voksne menn og kvinner har rett til å gifte seg og stifte familie uten noen begrensning som skyldes rase, nasjonalitet eller religion. De har krav på like rettigheter ved inngåelse av ekteskapet, under ekteskapet og ved dets oppløsning.
16-02	Ekteskap må bare inngås etter fritt og fullt samtykke av de vordende ektefeller.
16-03	Familien er den naturlige og grunnleggende enhet i samfunnet og har krav på samfunnets og statens beskyttelse.
17-00	Artikkel 17.
17-01	Enhver har rett til å eie eiendom alene eller sammen med andre.
17-02	Ingen må vilkårlig fratas sin eiendom.
18-00	Artikkel 18.
