00-00	دۇنيا كىشىلىك ھوقۇقى خىتابنامىسى
00-01	ئىنسانلار ئائىلىسىنىڭ بارلىق ئەزالىرنىڭ ئۆزىگە خاس ئىززەت-ھۆرمىتىنى شۇنىڭدەك ئۇلارنىڭ باراۋەر ۋە تەۋرەنمەس ھوقۇقىنى ئەتراپ قىلىشنىڭ دۇنياۋى ئەركىنلىك، ھەققانىيەت ۋە تىنچلىقنىڭ ئاساسى ئىكەنلىكى،
00-02	كىشىلىك ھوقۇقىغا ئېتىبارسىز قاراش ۋە ھاقارەت كەلتۈرۈش ئەۋج ئېلىپ كىشىلەرنىڭ ۋىجدانىنى بولغايدىغان ياۋۇز زوراۋانلىققا ئايلانغانلىقى، ھەممە ئادەم سۆز ئەركىنلىكى ۋە ئېتىقاد ئەركىنلىكىدىن بەھرىمەن بولىدىغان ھەمدە ۋەھىمە ۋە نامراتلىقتىن خالىي بولىدىغان دۇنيانىڭ يېتىپ كېلىشى ئاددىي خەلقنىڭ ئالىي ئارزۇسى دەپ ئېلان قىلىنغانلىقى،
00-03	ئىنسانلانىڭ ئىلاجىسىزلىقتىن زوراۋانلىق ۋە زۇلۇم ئۈستىدە ئىسيان كۆتۈرىمىز دەپ تەۋەككۇلىگە ھەرىكەت قىلىپ يۇرمەسلىكى ئۈچۈن، كىشىلىك ھوقۇقىنى قانۇن ئارقىلىق ئىدارە قىلىش يولى بىلەن قوغداش زۆرۈر بولغانلىقى،
00-04	دۆلەتلەر ئارا دوستلۇق مۈناسىۋىتىنىڭ تەرەققىياتىنى ئالغا سۈرۇش زۆرۈرلۇكى،
00-05	بىرلەشكەن دۆلەتلەر تەشكىلارتىغا ئەزا دۆلەتلەر خەلقىنىڭ بىرلەشكەن دۆلەتلەر خارتىيىسىدە ئۆزلىنىڭ ئاساسي كىشىلىك ھوقۇقى، ئىسانىي ئىززەت-ھۆرمىتى ۋە قەدىر-قىممىتى شۇنىڭدەك ئەر-ئاياللارنىڭ باراۋەرلىك ھوقۇقى توغرىسىدىكى ئەرقىدىسىنى قايتا تەكىلتىگەنلىكى ھەمدە بىر قەدەر چوڭ ئەركىنلىك ئاساسىدا جەمئىيەتنىڭ يۇكسىلىشى ۋە تۇرمۇش دەرىجىسىنىڭ ياخسىلىنىشىنى ئالغا سۈرۈشكە بەل باغلىغانلىقى.
00-06	ئەزا دۆلەتلەرنىڭ بىرلەشكەن دۆلەتلەر تەشكىلاتى بىلەن ھەمكارلىشىپ، كىشىلىك ھوقۇقى ۋە ئاساسىي ئەركىنلىكنىڭ ئومۇميۇزلۇك ھۆرمەتلىنىشى ۋە ئەمەلگە قويۇلۇشىنى ئالغا سۈرۈش يولىدا قەتئىي ئىرادىگە كەلگەنلىكى،
00-07	ئاشۇ ھوقۇق ۋە ئەركىنلىكنى ئومۇميۇزلۇك چۇشىنىشنىڭ شۇ قەتئىي ئىرادىنىڭ تولۇق ئەمەلگە ئاشۇرۇلۇشىغا مۇھىم تەسىر كۆرسىتىدىغانلىقى،
00-08	كۆزدە تۇتۇلغاچقا، ھازىر
00-09	يىغىن،
00-10	بارلىق خەلق ۋە بارلىق دۆلەت تىرىشىپ ئەمەلگە ئاشۇرىدىغان ئورتاق ئۆلچەم سۈپىتىدە مۇشۇ دۇنيا كىشىلىك ھوقۇقى خىتابنامىسىنى ئېلان قىلىدۇ. ھەر بىر ئادەم ۋە ئىجتىمائىي ئاپپاراتنىڭ مۇشۇ خىتابنامىنى ھەر دائىم ئەستە چىڭ ساقلاپ، تەلىم ۋە تەربىيە ئارقىلىق ھوقۇق ۋە ئەركىنلىكنىڭ ھۆرمەتلىنىشنى تىرىشىپ الغا سۈرۈشى ھەمدە دۆلەتلەرنىڭ ۋە خەلقئارانىڭ تەدرىجىي ئىلگىرىلەش تەدبىرلىرى ئارقىلىق ئاشۇ ھوقۇق ۋە ئەركىنلىكنىڭ ئەزا دۆلەتلەرنىڭ ئۆزىدىكى خەلق ئارىسىدا شۇنىڭدەك شۇ دۆلەتلەرنىڭ باشقۇرۇش تەۋەلىكىدىكى زېمىنىدا ياشايدىغان خەلق ئارىسىدا ئومۇميۈزلۈك ۋە ئۇنۇملۇك ئەتىراپ قىلىنىشى ۋە ئەمەلگە قويۇلۇشىنى ئۇمىد قىلىدۇ:
