00-00	[missing]
00-01	Juu ainawai ima dekas jikattsa chichamjukmauk: Agkan pujut, tikichish waitkascham pujut, agkan takaku tikichish atankishmin pujut; agkan uyumakas pujusa takat, tikichi jinti niimjutsuk. Yaunchkek aents ashi nugkanum juna dekawag shiig ayamjumak pujus takajakchajui. Juna shiig dekainachu tuke ukmauwa nunin asamtai. Ashi aents anentaimainak, aentsuk tuke waitkatais aawa anentaimaidau. Nuninak makimakichik aents ditak chichamjumka ayamjumamainnak dekainachu.
00-02	Tuja juju aents chichamjumka, ayamjumka pujumainnak - dekashbaun nagkamak jikiaju ainawai. Aents aidau aentschau utugmaina anmamut kuashat pegkegchaunum katsekeamun, anentaimaunash yupichu chichakchamin awajuinamun wain wajainak iwainakajui. Dutikamun aents aidau wainak kuashat puyatjus wakejukajui. Nuniak ashi nugka muunta jui aents batsamas ishamkagtutsuk, waitkas, puyattsuk dita dekaskeapi tusa anentaimsa Apajuikesh, tikich wajikesh anentaimtamunash shiig aneasag dakunkut dutikatnume tia;\ui. Aents ayamjumka, chichamjumka pujamuk dekas tikichish yapagtuashmin nii wajuk makichik aents anentaimuak dutiksag chichamjumak pujustin ati tiajui. Aents dakitauk waitkasa takamtiktaig, apu waitkagkagtinu inakeg, chichame antugchataig, aents wagagsa najaki chichagtaig achagti tiajui. Nuniak nunashkam tiajui: Tikich nugkanmayajaish ishamnaitsuk, shiig anendaisag atueyin agtinme tiajui (Tusa juna agajaju ainawai):
00-03	Yakat muun aidaunmaya ijunjamunum, papinum agajag emetjau ainawai, aents anenjas dutikmain aidaun, aentsti imanjish aentsmasa diitan, tikich aidaujaish betek atan, nuwashkam aishmagshakam; tuja juju chicham aidau dekaskeapi tabau emtiktanash.
00-04	Nuigtushkan yakat muun aidaunmayajai ijunja, tikich nugkanmayajai yainit nagkamna jushakam aikasaik emetja emtikami, aents agkan pujus anenjas chichamain aina aujai tiajui.
00-05	Nunashkam tiajui: Juju takat sumamsag jushakan puyatjusa shiig uminkati, agkan chichat, agkan pujut, ashi aentstinum ajutkagtau asamtai tiajui.
00-06	AENTS UNTSUJI IJUNJAMUNUM
00-07	etsejamu
00-08	Juju aents yupichu anenjas dutikmain aidau etsegna duka ashi yakat muun aidaunmayash pee kakanmain ainawai, makichik anentaimtak ati tusag, dutikaku ashi aents aidaunum, ijuntuja takatai aidaunmashkam; dutikaku emtikami anenjas chichamain, agakan tikich waitkascham pujut aina juju; tuja aikasag ashi nugkanmaya aidaush dekaskeapi titinme, yakat imaan aidaunmayampap takasajuita tusag, nunu nugkanum pachinak batsatainaushkam.
01-00	Articulo 1.
01-01	Ashi aents aidauk agkan akinui, betek eme anentsa aentsmasa diyam atanmash, tuja aents anentaibau, aents dutikatasa wakej amu yupichu dutimainnum, tuja ni wakejamun takakush tikish bakushminnum, nuniak tikish aidaujaish shiig yatsuta anmamut ati tusa.
02-00	Articulo 2.
02-01	Ashi aentsun ajawai nii anentaibau yupichu dutikmain, tuja agkan tikich waitkascham pujamushkam etsejamui, ima aents pujunukechu, aishmagnukechu, tikich chichaman chichaku, tikich apajuin etsagkin, niish anentaimkau, tikich nugkanmaya, ujunauch, wiyakush, yaja akidau akushkam, ashi betek agkan ainawai.
02-02	Nuigtushkan makichik aentskesh nagkaegam achatnai agkan pujutnumak apu aidau dakitamu aigkish. Tuja aents nugka akanjamunum pujaush, ashi betek apu pujamunum pujuidau agkan chichamainji, takamainji, dutikmainjish ajuina nunisag aagtinai. Nugka akankamumun pujawai tusa anenjas chichakchamin, anenjas takaschamin, anenjas puj uschamin anentaimtam amaitsui; tikich nugkanmaya apu chichamen pujuidaushkam antsag ashi betek aidau asamtai.
03-00	Articulo 3.
03-01	Ashi aents aidauk wainka wakegaku ayamkenchau maa ajapeamak achatnai. Ashi aentsnak ajawai puyatjumkas pujut, tikich waitkascham shiig agkan pujuta nunu.
04-00	Articulo 4.
04-01	Makichik aentskesh inak ema apusa waitkamak amaitsui. Aents wainka inaku waitkastin timauk atsawai ajumaish tuke dutikashtin timau asamtai.
05-00	Articulo 5.
05-01	Aentschau utugmaina anmamut achika apusa wainka suimak suwaku waitkamak achatnai aentsuk.
06-00	Articulo 6.
06-01	Ashi aents aidauk ashi nugkanum agkan pujumainai ni wakejamunum nuniak ashi aents aidau chicham umiktin aina juna betek umimainai, umitsuk inaimaitsui tikich nugkanum pujajai tusa.
07-00	Articulo 7.
07-01	Chicham aents aidau umiktin agaja iwainagbauwa nunu ayamkagtamunmag betek ainaji, nuniau asamtai aents aidau imamchauch anentaimtusa diyam amaitsui, chicham umiktin agagbau ashi aentstin ayamkagtau asamtai.
08-00	Articulo 8.
08-01	Apu aidau nuni takantsati iina nugken tusa jintiagbau, nuniashkush chicham ashi aents aidau umikti tusa iwainagbau aig, nuna betek umitsuk waitkam, apu aidau emtin ajankas etsegtumamainuk agkan ajutjamji.
09-00	Articulo 9.
09-01	Makichik aentskesh tutit chichamji atsujaig wainka achika egkea waitkamak achatnai, dutikashkuish nii pujamujinia jiki ajapeam achatnai.
10-00	Articulo 10.
