00-00	[missing]
00-01	yatr jgti shaanti-nyaaaya-svaatntryaaannaa+m aadhaar𑌃 maanv-privaarsya srveessaampi sdsyaaanaa+m saamyaaanaa+m ayavnndditaanaanyac adhikaaraannaa+m, paarmprik-gaurvsya caabhijnyaaanee syaaat,yatr maanvaadhikaaraannaa+m avmaaneen anaadreenn c kaaryaaanni durdaantruupeenn prinnmitaani, yaai𑌃 maanviiya-ceetnaa vikssoobhitaa, api c,saamaanya-jnaanaa+m ucctmaakaa+mkssaa𑌃 abhighoossitaa𑌃 syau𑌃, eev+m hi nuutnvishvaar+mbheenn, maanvaa𑌃 abhivyaktee𑌃 svaatntryamnubhvitu+m shkssyanti, nirbhyaaashc bhvitaar𑌃, yatr caitt anivaaryam yadi shoossnnaatyaaacaaraan virudhya antim-pryaaastveen mnussya𑌃, pryaaasaanusstthaanaarth+m naiv vivshiikriyatee ceettdaa, maanvaadhikaaraa𑌃 vidhi-niyameen s+mrkssnniiyaaa𑌃,yatr c raassttreessu prspr+m syavya-smbndhaanaa+m vikaasjaat+m smunneetu+m prmaavshyak+m syaaat,yatr maulikeessu maanvaadhikaareessu s+myaukt-raassttr-s+mghsya jnaa𑌃 ghoossnnaaptree sviiyaaasthaa+m drddhiikrtvnt𑌃, brhttree c svaatntryaee bhdrtr+m jiivnstr+m saamaajik-prgti+m c smunneetu+m nirnniitm, strii-purussaannaa+m saamyaaadhikaareessu maanv-vyaktee𑌃 gaurvee muulyaee c nisstthaa drddhiikrtaa,yatr, sdsyadeeshaa𑌃 maulik-svaatnnyayaaannaa+m maanvaadhikaaraannaanyac pripaalnaarth+m vaishvikaadrsya smunntyaee c, s+myaukt-raassttr-s+mgheen s+mbhuuya prtishrutaa𑌃 syau𑌃,yatr sviiya-prtishrutiinaa+m pripuurnntaayaai eeteessaa+m adhikaaraannaa+m svaatnnyayaaannaa+m c saamaanyaaavgmn+m mhttm+m mhttvaadhaayai c syaaat,tdrth+m saamprtm,mhaasbhaa srveessaa+m raassttraannaa+m srveessaa+m c jnaanaa+m krtee saamaanyaooplbdhi-str-ruupeenn maanvaadhikaaraannaa+m eenaa+m jaagtaabhighoossnnaa+m abhighoossyati. smaajsya prtyaeekmpi a+mgm, prtyaeekmpi jn𑌃, mnsi stt+m abhighoossnnaameenaa+m nidhaaya, eeteessaa+m adhikaaraannaa+m svaatnnyayaaannaa+m c krtee smmaan+m smunneetu+m shikssaadhyaaapnaarth+m pryatissyatee, api c, sviiya-ksseetraadhikaaraantrgt+m ksseetrvaastvyaeessu jneessu sveessu c sdsyadeesheessu tdiiyaeessu jneessu c sviiya-vaishvik-prbhaavi-pripaalnaabhyaupgmnaani s+mrkssitu+m aantaaraassttrikaannaa+m raassttrikaannaanyac prgtishiiloopaayaaanaa+m c maadhyameen pryatissyatee.
01-00	anuccheed𑌃 1
01-01	srvee maanvaa𑌃 svtntraa𑌃 smutpnnaa𑌃 vrtntee api c, gaurvdrshaa adhikaardrshaa c smaanaa𑌃 eev vrtntee. eetee srvee ceetnaa-trk-shktibhyaaa+m susmpnnaa𑌃 snti. api c, srvee𑌽pi bndhutv-bhaavnyaaa prspr+m vyavhrntu.
02-00	anuccheed𑌃 2
02-01	asyaaa+m abhighoossnnaayaaa+m nirdissttaa𑌃 srvee𑌽pi adhikaaraa𑌃 srvaannyapi c svaatntryaaanni, vinaiv jaati-vrnn-li+mg-bhaassaa-dhrm-raajniitik-tditr-mntvyaaadi-bheedm, raassttriiya+m saamaajikaadhaar+m smpjjnm-tditr strnyac avignnyaya, adhigntu+m srvoo𑌽pi jn𑌃 prbhvti.
02-02	eetdtiriktm, ksyaaashcidpi prbhusttaayaaa𑌃 niyamnaantrgtm, svaadhiinsya aatmprshaasneetr-tntrsya, nyaaasitntrsya vaa vaastvyasya prdeeshsya deeshsya vaa raajniitik-siimaa-nibndhnaantaaraassttrik-straadhaareenn n koo𑌽pi bheedoo vidhaasyatee.
03-00	anuccheed𑌃 3
03-01	srvoo𑌽pi jn𑌃 jiivn-svaatntrya-surkssaadhikaar+m s+mdhttee.
04-00	anuccheed𑌃 4
04-01	n kmpi jn+m daastveen praadhiintveen vaa dhaaryaitu+m anujnyaaasyatee. api c daasvyaaapaar𑌃 puurnnruupeenn prtissiddh𑌃 sthaasyati.
