00-00	MARDU IRAVUNKNERI HAMENDHANUR HRChAKAGIR
00-01	Kanzi mardkayin entaniki bolor andamnerin nerhatuk arzhanapatvutyune ev havasar u anotareli iravunknere ashkharhi azatutyan, ardarutyan u khaghaghutyan himkn en․
00-02	Kanzi mardu iravunkneri nkatmamb kamahrankn u arhamarhanke hangecrel en mardkutyan khightche khrovats barbarosakan gortsoghutyunneri, ev kani vor aynpisi ashkharhi steghtsume, ur mardik kvayelen khoski u hamozmunkneri azatutyun ev zerts klinen vakhic u karikic hrchakvel e vorpes mardkanc bardzraguyn dzgtum․
00-03	Kanzi anhrazhesht e, vorpeszi marde, vorpes mi verjin mijoci, chdimi apstambutyan enddem brnutyan u tchnshman, orenki ishkhanutyamb pashtpanel mardu iravunknere․
00-04	Kanzi anhrazhesht e npastel azgeri mijev barekamakan haraberutyunneri zargacmane․
00-05	Kanzi Miavorvats azgeri zhoghovurdnere kanonadrutyan mej verahavastel en irenc havate mardu himnakan iravunkneri, andzi arzhanapatvutyan u arzheki, tghamardu u knoj havasar iravunkneri nkatmamb ev voroshel en aveli mets azatutyan paymannerum npastel socialakan arajentacin u kyanki paymanneri barelavmane․
00-06	Kanzi andam petutyunnere partavorvel en Miavorvats azgeri het hamagortsakcutyamb hasnel mardu iravunkneri u himnakan azatutyunneri nkatmamb hamendhanur harganki u dranc pahpanman․
00-07	Kanzi ays iravunkneri u azatutyunneri hamendhanur embrnume karevoraguyn nshanakutyun uni ays partavorutyan liarzhek iragortsman hamar․
00-08	GLKhAVOR ASAMBLEAN
00-09	azdararum e ays
00-10	MARDU IRAVUNKNERI HAMENDHANUR HRChAKAGIRE
00-11	vorpes arajadrank bolor zhoghovurdnerin u azgerin, vorpeszi yurakanchyur anhat ev hasarakutyan yurakanchyur marmin, mtkum mshtapes unenalov ays Hrchakagire, dzgti usucman u krtutyan mijocov npastel ays iravunkneri u azatutyunneri nkatmamb hargalic verabermunkin ev azgayin u mijazgayin arajadimakan mijocarumnerov apahovel dranc hamendhanur ardyunavet tchanachumn u pahpanume te andam petutyunneri zhoghovurdneri ev te dranc iravasu taratskneri zhoghovurdneri koghmic.
01-00	Hodvats 1
01-01	Bolor mardik tsnvum en azat u havasar irenc arzhanapatvutyamb u iravunknerov. Nrank unen banakanutyun u khightch ev mimyanc petk e yeghbayrabar veraberven.
02-00	Hodvats 2
