00-00	Muhdu pameere pane iinujiri ijcyane miamunaa meijcyaiyone
00-01	Ihyaamti panetu caatuvane pane inujiIne munaadityuu tsaate tsatsihvu idyobeevene muhdu miamunaa meijcyaiyone pityacojcatsine.
00-02	Ditsieeberedipye 10-ri 1948 ijcyane pijcyabari tsaate pane inujiIne tukevejtsojtedityu pihcyaave ipityacojcatsi muhdu miamunaa meijcyaiyone. A;ane dobeeve "Naciones Unidas" neemee. Aamehjaa teijyu caatunu 30-neva miamunaa maavyejuulleiyonehji. Aanehjaa imi iijtsucununellii neeme tenehji pane inujiIne munaake iuuballemeiki. Tehdurehjaa neeme tenehji caatunumeihaami pahullevavu pamehdivure itsujaave tehaami ditye patsihjivavure ieeveki.
00-03	A;ane boonetuhjaa ine meiinuji tukevejtsojte tehdure ipihcyaavene nee paneere 30-nevaa caatunumeine muhdu nehdu meijcyaiyone meiinujiri.
00-04	Aane tenehji mewaabyuta ijcyahi. A;nehji muu imineuvu iwaajacune tehdu ijcyahi. Aane tsa muu ihdyivure picyootune. Muu inahbemudivu pajtyetso tenehji ditye iwaajacune tehdu iijcyaki.
00-05	Pityajcoju ihdenumeine
00-06	Muura pameere tsaapiitsa meboohowama meijcyane mewaajacumeicya botsii maajiyuiniiya muhdu imi meijcyaiyone. A;anellii tsa tsaate tsijtye hojtsi pane meicyaityuro icubahradu. Tsa tsaate tsijtyedi meicubahraityurone. Illure mepiaabojcatsiiya pameemaye imi meijcya tutavatsojcatsityume.
00-07	A;rone teene meboohowa ijcyarone mewaajacutune nijcauvu muura tsaate muhdu imi meijcyaiyodu ijcyatume illure tsaatedi icubahrahijcyahi. Aane ehdu ditye meenune pameere miamunaadivuro imityune. Muura pameere iinujiri ijcyane miamunaa meijyacunura tsaimiye meijcyaiyoneri. Tsa muha mehdivu tuutavalleityuro meihjyuvanee, iina mecahcujtsonee, ijcyane. Aame tsa iIneri meillityeityurone. Tsa pihtoju pane meijcyaityurone. Ehdu meijcyane pameere miamunaa imi meijtsucunuhi.
00-08	Ehdu imityune medariIvejcatsiiyone ihdetu ijcyaiyone meema tukevejtsojuune. Muura tsaate imityune meke meenuhajchii teenej teeveri tsaimiye meimibachojcatsihi. Muura tene ijcyatuca tsaijyu maavyejujte ijcyaromema memunaatsojcatsiiyahi.
00-09	Aane mewaajacucaro teenej teeveri pahulleva inujiIne munaama imi meijcyaiyahi. Tsa tsaateke menehnilleityurone. Muura pameere miamunaa iinujiri meijcyame meimille tsahdure imi meijcyaiyone.
00-10	Muurahjaa 'Pane InujiIne Munaa Pihcyaave' nemeine pane tsuuca itsaaveme muhdu pameere miamunaa wajpiimumaye walleemu meijcyame tsahdure maavyejuullejcatsiiyone. Aame mepiaabojcatsiiya panejcuvavu tsahdure pameere imi meijcyaki. A;ane pityajcoju ine muhdu miamunaake mepiaaboiyone tsuuca meema ijcyaneri mewaajacutso pahduube comine munaajpi meboohowama meijcyane ditye iavyejuullene icyahcujtso imi iijcyaki.
00-11	Muurahjaa 'Pane InujiIne Munaa Pihcyaave' nemeine pane ijcyame nee pahduube comine munaajpi meboohowama, meijtsutuma, meijcyame maavyejuullejcatsimye muhojtsi pane meijcyatuki. Aamee pityacojcatsi muhdu miamunaake ipiaaboine imi ditye iijcyaki.
00-12	Aane imiaane tehdujuco pameere waajacuiyone muhdu tukevejtsoju nehdu meijcyame maavyejuullejcatsiiyone.
00-13	Ahdicyane 'Pane InujiIne Munaa Pihcyaave' nemeine pane ijcyame nee tenehji nehdu pahduube iinujiri ijcyane miamunaajpi meijcyaiyone mewaabyuta tene ijcyanelliihye. A;aneri meljyacunuiya muhdu tene nehdu meijcyaiyoneri. A;hdure tsijtyeke meuwaaboiya meiinuji munaa ijcyaturomehjimajuco ditye tehdu iijcyaki. Ehdu imi meijcyaiya tsuuca teene mewaajacume teenei waajacutume pamevamaye.
00-14	A;ane tukevejtsojuune illu neehii:
01-00	1. Tukevejtsoju
01-01	Pameere iinujiri meijcyame tsa muhojisi pane icubahradu meijcyaityurone. Pameere tsahdure imi meijcyame mewajyujcatsine mepiaabojcatsiiya tsaateke ehdiIvalletume ehne muu mepanetuene nahbemuma meijcyadu.
02-00	2. Tukevejtsoju
